Hansard volume,Rā,Ingoa kaikōrero,Speaker turn,Paragraph number,Te Reo length,Ambiguous length,Other length,Is Māori (%),Kōrero
Vol 483.txt,"THURSDAY, 24 SEPTEMBER 1987",Hon. K. T. WETERE (Minister of Maori Affairs),167,1,71,28,9,88.75," Ko te mea tuatahi ano, kei te mihi atu ki te Kawana
Tianara. Ko ia te Maori tuatahi i mihi ai i whaka tuwhera ai i tenei Whare i roto i te motu nei. Heoi
ano te te Kawana, tenei ra te mihi atu ki a koe me o mihi ki te Whare nei tae atu ano ki nga manuhiri
tuarangi i nga waka, i nga motu i tae mai ai i taua ra. Oti ra i tenei wa, e taku Rangatira, tenei ra te
mihi atu Ki a koe mo to teina kua hinga atu i tenei ra, i raro iho i to koutou maunga a Taranaki."
Vol 483.txt,"THURSDAY, 24 SEPTEMBER 1987",Hon. K. T. WETERE (Minister of Maori Affairs),167,2,53,25,4,92.98245614035088,"Noreira e Hare haera, haera ki o Matua haere ki o Tupuna. E te Kawana inanahi nei i tae atu tatou
ki te maunga o Tongariro i reira i hui ai tatou ki te whaka momori, ki te whakaaro atu i te taonga i
hoatu ai e te Tupuna a Ta Hepi ki te motu, ki te Iwi nui tonu. Tenei ra te mihi atu kia koe, oti ra ki
Tuwharetoa nui tonu, tae atu ano ki a tatou i tenei ra."
Vol 483.txt,"THURSDAY, 24 SEPTEMBER 1987",Hon. K. T. WETERE (Minister of Maori Affairs),167,3,21,9,3,87.5,"Noreira e te Iwi e noho mai na i runga i o tatau marae maha, e hapai nei i nga tikanga a koro ma a
kui ma, tena koutou, tena koutou, tena koutou."
Vol 483.txt,"THURSDAY, 24 SEPTEMBER 1987",Hon. K. T. WETERE (Minister of Maori Affairs),167,4,63,28,8,88.73239436619718,"Tenei ra te mihi atu ki a koe e te Hemana, kua utaina nei i tenei turanga nui ki runga ki a koe, me te
tautoko ano hoki nga mihi kua mihi atu nei e tehi o tatou, ki runga ki a koe oti ra ki nga mema hou
kua urumai ki roto ki tenei Whare i tenei ra. E Hine ma tena korua i puta atu ta korua mihi tuatahi i
roto i enei Whare he mea ataahua ano tenei i rite ano ra ki nga korero i korerohia ai e te Kawana
Tianara i te ra, ra."
Vol 483.txt,"THURSDAY, 24 SEPTEMBER 1987",Hon. K. T. WETERE (Minister of Maori Affairs),167,5,24,5,2,92.3076923076923,"Tenei ra te mihi atu ki a korua, noreira tena korua oti ra koutou kua tatu mai ki roto i tenei Whare,
kia tatou katoa, tena koutou, tena koutou, tena koutou."
Vol 483.txt,"WEDNESDAY, 30 SEPTEMBER 1987",Katherine O'Regan,191,1,2,0,0,100.0, Te Atatu?
Vol 483.txt,"WEDNESDAY, 7 OCTOBER 1987",Dr GREGORY (Northern Maori),200,1,29,6,1,96.66666666666667," E te whare e tu mai nei Nga rangatira o nga motu o Niu Tireni. Te
Kawana Tianara me tona wahine rangatira Ara te Kaitiaki o Te Whare Paremata Tena koutou tena
koutou tena koutou katoa."
Vol 485.txt,"TUESDAY, 1 DECEMBER 1987",The CHAIRMAN,183,11,33,7,3,91.66666666666667,"E te heamana o tenei whare rangatira, oku rangatira Maori; nga mema, mangai hoki, o nga iwi katoa
o Niu Tireni, tena koutou katoa. Te Minita Maori tena ra koe. Toku whanaunga o te Tai Tokerau e noho
ana roto Tauranga, tena koe."
Vol 485.txt,"TUESDAY, 1 DECEMBER 1987",The CHAIRMAN,183,12,68,19,8,89.47368421052632,"Kanui te awangawanga roto i tenei whare, ara te ao o te Maori ki tenei mahi kino o to tatou hoa o
Tauranga. Tino pouri taku ngakau i tenei ra na te mea kua pakaru ia te kotahitanga o nga pononga
Maori. O nga iwi whanui o te motu i roto i tenei wharenui. I nga ra i mua nga mahi o nga Maori raro
te tuanui o tenei whare, ahakoa te waka, ahakoa te iwi, ahakoa te ropu whawhai tonu matou mo te
iwi Maori e Tika haere te huarahi mo nga mokopuna katoa."
Vol 485.txt,"TUESDAY, 1 DECEMBER 1987",The CHAIRMAN,183,13,38,10,9,80.85106382978724,"Kei roto i te ao Maori waihotia nga mea he kei kona matou whakatikatika e pai haere to tatou nei
huarahi mo te iwi Maori. Ka hou koe, te whanaunga ki roto ie te ao tauiwi nga kaupapa na te iwi Maori
e whati ana to iwi e whakataka i tana mana. Kei hea to wairua Maori?"
