Date retreived,Hansard document url,Wā,Title,Te Reo length,Ambiguous length,Other length,Is Māori (%),Awaiting authorised reo
2018-01-10 16:07:56.949850,/en/pb/hansard-debates/rhr/document/47HansD_20030211/volume-606-week-14-tuesday-11-february-2003,11-Feb-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 11 February 2003  ",259,2914,52573,0.49023319200484555,
2018-01-10 16:07:59.270646,/en/pb/hansard-debates/rhr/document/47HansD_20030212/volume-606-week-14-wednesday-12-february-2003,12-Feb-2003  ,"Parliamentary Debates (Hansard) for Wednesday, 12 February 2003  ",483,3157,49777,0.9610027855153204,
2018-01-10 16:08:01.563370,/en/pb/hansard-debates/rhr/document/47HansD_20030213/volume-606-week-14-thursday-13-february-2003,13-Feb-2003  ,"Parliamentary Debates (Hansard) for Thursday, 13 February 2003  ",331,1923,29972,1.0923010923010923,
2018-01-10 16:08:03.462564,/en/pb/hansard-debates/rhr/document/47HansD_20030218/volume-606-week-15-tuesday-18-february-2003,18-Feb-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 18 February 2003  ",77,2615,46391,0.16570543169492985,
2018-01-10 16:08:05.845430,/en/pb/hansard-debates/rhr/document/47HansD_20030219/volume-606-week-15-wednesday-19-february-2003,19-Feb-2003  ,"Parliamentary Debates (Hansard) for Wednesday, 19 February 2003  ",108,2946,47839,0.2252487121196321,
2018-01-10 16:08:08.067323,/en/pb/hansard-debates/rhr/document/47HansD_20030220/volume-606-week-15-thursday-20-february-2003,20-Feb-2003  ,"Parliamentary Debates (Hansard) for Thursday, 20 February 2003  ",74,1757,30216,0.24430505117200396,
2018-01-10 16:08:10.001101,/en/pb/hansard-debates/rhr/document/47HansD_20030225/volume-606-week-16-tuesday-25-february-2003,25-Feb-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 25 February 2003  ",114,2576,44210,0.2571970038805162,
2018-01-10 16:08:12.633952,/en/pb/hansard-debates/rhr/document/47HansD_20030226/volume-606-week-16-wednesday-26-february-2003,26-Feb-2003  ,"Parliamentary Debates (Hansard) for Wednesday, 26 February 2003  ",190,2967,44648,0.4237477139925956,
2018-01-10 16:08:15.159530,/en/pb/hansard-debates/rhr/document/47HansD_20030227/volume-606-week-16-thursday-27-february-2003,27-Feb-2003  ,"Parliamentary Debates (Hansard) for Thursday, 27 February 2003  ",143,1881,30427,0.4677788681714099,
2018-01-10 16:08:17.395184,/en/pb/hansard-debates/rhr/document/47HansD_20030304/volume-606-week-17-tuesday-4-march-2003,04-Mar-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 4 March 2003  ",133,2521,42076,0.3150986756378971,
