Date retreived,Hansard document url,wā,title,Te Reo length,Ambiguous length,Other length,is Māori (%),awaiting authorised reo
2017-12-20 15:05:57.179101,/en/pb/hansard-debates/rhr/document/47HansD_20030211/volume-606-week-14-tuesday-11-february-2003,11-Feb-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 11 February 2003  ",251,2922,52598,0.4749380309939639,
2017-12-20 15:05:59.644712,/en/pb/hansard-debates/rhr/document/47HansD_20030212/volume-606-week-14-wednesday-12-february-2003,12-Feb-2003  ,"Parliamentary Debates (Hansard) for Wednesday, 12 February 2003  ",434,3209,49848,0.8631319358816276,
2017-12-20 15:06:02.017286,/en/pb/hansard-debates/rhr/document/47HansD_20030213/volume-606-week-14-thursday-13-february-2003,13-Feb-2003  ,"Parliamentary Debates (Hansard) for Thursday, 13 February 2003  ",305,1951,30004,1.006301758553565,
2017-12-20 15:06:03.934453,/en/pb/hansard-debates/rhr/document/47HansD_20030218/volume-606-week-15-tuesday-18-february-2003,18-Feb-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 18 February 2003  ",75,2617,46391,0.161408341583093,
2017-12-20 15:06:06.293726,/en/pb/hansard-debates/rhr/document/47HansD_20030219/volume-606-week-15-wednesday-19-february-2003,19-Feb-2003  ,"Parliamentary Debates (Hansard) for Wednesday, 19 February 2003  ",100,2954,47839,0.20859842716785915,
2017-12-20 15:06:08.568627,/en/pb/hansard-debates/rhr/document/47HansD_20030220/volume-606-week-15-thursday-20-february-2003,20-Feb-2003  ,"Parliamentary Debates (Hansard) for Thursday, 20 February 2003  ",59,1772,30216,0.1948802642444261,
2017-12-20 15:06:10.494673,/en/pb/hansard-debates/rhr/document/47HansD_20030225/volume-606-week-16-tuesday-25-february-2003,25-Feb-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 25 February 2003  ",110,2580,44210,0.24819494584837545,
2017-12-20 15:06:13.007131,/en/pb/hansard-debates/rhr/document/47HansD_20030226/volume-606-week-16-wednesday-26-february-2003,26-Feb-2003  ,"Parliamentary Debates (Hansard) for Wednesday, 26 February 2003  ",181,2976,44648,0.40375649691048204,
2017-12-20 15:06:15.645122,/en/pb/hansard-debates/rhr/document/47HansD_20030227/volume-606-week-16-thursday-27-february-2003,27-Feb-2003  ,"Parliamentary Debates (Hansard) for Thursday, 27 February 2003  ",142,1882,30427,0.4645228826589028,
2017-12-20 15:06:17.791929,/en/pb/hansard-debates/rhr/document/47HansD_20030304/volume-606-week-17-tuesday-4-march-2003,04-Mar-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 4 March 2003  ",120,2534,42076,0.2843871457010143,
2017-12-20 15:06:20.433672,/en/pb/hansard-debates/rhr/document/47HansD_20030305/volume-606-week-17-wednesday-5-march-2003,05-Mar-2003  ,"Parliamentary Debates (Hansard) for Wednesday, 5 March 2003  ",116,3141,49539,0.23361192226361896,
2017-12-20 15:06:23.063750,/en/pb/hansard-debates/rhr/document/47HansD_20030306/volume-606-week-17-thursday-6-march-2003,06-Mar-2003  ,"Parliamentary Debates (Hansard) for Thursday, 6 March 2003  ",116,1743,27452,0.4207777132907719,
2017-12-20 15:06:24.945702,/en/pb/hansard-debates/rhr/document/47HansD_20030318/volume-607-week-18-tuesday-18-march-2003,18-Mar-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 18 March 2003  ",153,2936,49346,0.30909715347784805,
2017-12-20 15:06:27.401462,/en/pb/hansard-debates/rhr/document/47HansD_20030319/volume-607-week-18-wednesday-19-march-2003,19-Mar-2003  ,"Parliamentary Debates (Hansard) for Wednesday, 19 March 2003  ",315,2960,46696,0.6700559443534492,
2017-12-20 15:06:29.840728,/en/pb/hansard-debates/rhr/document/47HansD_20030320/volume-607-week-18-thursday-20-march-2003,20-Mar-2003  ,"Parliamentary Debates (Hansard) for Thursday, 20 March 2003  ",213,1877,30741,0.6881178522969568,
2017-12-20 15:06:31.985446,/en/pb/hansard-debates/rhr/document/47HansD_20030325/volume-607-week-19-tuesday-25-march-2003,25-Mar-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 25 March 2003  ",161,3003,46014,0.3486735246345425,
2017-12-20 15:06:34.914247,/en/pb/hansard-debates/rhr/document/47HansD_20030326/volume-607-week-19-wednesday-26-march-2003,26-Mar-2003  ,"Parliamentary Debates (Hansard) for Wednesday, 26 March 2003  ",288,3262,47935,0.597225390373888,
2017-12-20 15:06:37.284399,/en/pb/hansard-debates/rhr/document/47HansD_20030327/volume-607-week-19-thursday-27-march-2003,27-Mar-2003  ,"Parliamentary Debates (Hansard) for Thursday, 27 March 2003  ",60,1486,25150,0.2380007933359778,
2017-12-20 15:06:39.160268,/en/pb/hansard-debates/rhr/document/47HansD_20030401/volume-607-week-20-tuesday-1-april-2003,01-Apr-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 1 April 2003  ",53,3271,50984,0.10384622920626212,
2017-12-20 15:07:16.238377,/en/pb/hansard-debates/rhr/document/47HansD_20030402/volume-607-week-20-tuesday-1-april-2003-continued-on,01-Apr-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 1 April 2003(continued on
 Wednesday, 2 April 2003)  ",1035,6122,97646,1.0488341220701047,
2017-12-20 15:07:42.646320,/en/pb/hansard-debates/rhr/document/47HansD_20030403/volume-607-week-20-tuesday-1-april-2003-continued-on,01-Apr-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 1 April 2003(continued on
 Thursday, 3 April 2003)  ",425,4272,66407,0.6359229111802729,
2017-12-20 15:07:45.591373,/en/pb/hansard-debates/rhr/document/47HansD_20030408/volume-607-week-21-tuesday-8-april-2003,08-Apr-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 8 April 2003  ",558,2584,38472,1.4296694850115297,
2017-12-20 15:07:47.980926,/en/pb/hansard-debates/rhr/document/47HansD_20030409/volume-607-week-21-wednesday-9-april-2003,09-Apr-2003  ,"Parliamentary Debates (Hansard) for Wednesday, 9 April 2003  ",784,3230,44779,1.720694423106468,
2017-12-20 15:07:50.687222,/en/pb/hansard-debates/rhr/document/47HansD_20030410/volume-607-week-21-thursday-10-april-2003,10-Apr-2003  ,"Parliamentary Debates (Hansard) for Thursday, 10 April 2003  ",208,1624,25925,0.7959285194964222,
2017-12-20 15:07:52.659632,/en/pb/hansard-debates/rhr/document/47HansD_20030429/volume-608-week-22-tuesday-29-april-2003,29-Apr-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 29 April 2003  ",155,2979,45586,0.33886447607179554,
2017-12-20 15:07:55.231257,/en/pb/hansard-debates/rhr/document/47HansD_20030430/volume-608-week-22-wednesday-30-april-2003,30-Apr-2003  ,"Parliamentary Debates (Hansard) for Wednesday, 30 April 2003  ",250,2972,44770,0.5553087516659263,
2017-12-20 15:07:57.529082,/en/pb/hansard-debates/rhr/document/47HansD_20030501/volume-608-week-22-thursday-1-may-2003,01-May-2003  ,"Parliamentary Debates (Hansard) for Thursday, 1 May 2003  ",1285,2407,27828,4.413835743482293,
2017-12-20 15:07:59.997278,/en/pb/hansard-debates/rhr/document/47HansD_20030506/volume-608-week-23-tuesday-6-may-2003,06-May-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 6 May 2003  ",645,6709,98310,0.6518114294376232,
2017-12-20 15:08:04.746690,/en/pb/hansard-debates/rhr/document/47HansD_20030507/volume-608-week-23-wednesday-7-may-2003,07-May-2003  ,"Parliamentary Debates (Hansard) for Wednesday, 7 May 2003  ",294,3116,49578,0.5895091434071222,
2017-12-20 15:08:07.589062,/en/pb/hansard-debates/rhr/document/47HansD_20030508/volume-608-week-23-thursday-8-may-2003,08-May-2003  ,"Parliamentary Debates (Hansard) for Thursday, 8 May 2003  ",127,1739,26507,0.47683412179920404,
2017-12-20 15:08:12.208228,/en/pb/hansard-debates/rhr/document/47HansD_20030513/volume-608-week-24-tuesday-13-may-2003,13-May-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 13 May 2003  ",887,3041,49690,1.7537615912371236,
2017-12-20 15:08:14.931741,/en/pb/hansard-debates/rhr/document/47HansD_20030514/volume-608-week-24-wednesday-14-may-2003,14-May-2003  ,"Parliamentary Debates (Hansard) for Wednesday, 14 May 2003  ",276,3223,50135,0.5474995536688421,
2017-12-20 15:08:17.434771,/en/pb/hansard-debates/rhr/document/47HansD_20030515/volume-608-week-24-thursday-15-may-2003,15-May-2003  ,"Parliamentary Debates (Hansard) for Thursday, 15 May 2003  ",33,1940,32734,0.10071108127079073,
2017-12-20 15:08:19.369268,/en/pb/hansard-debates/rhr/document/47HansD_20030520/volume-608-week-25-tuesday-20-may-2003,20-May-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 20 May 2003  ",351,3017,49622,0.7023792848137994,
2017-12-20 15:08:21.908778,/en/pb/hansard-debates/rhr/document/47HansD_20030521/volume-608-week-25-wednesday-21-may-2003,21-May-2003  ,"Parliamentary Debates (Hansard) for Wednesday, 21 May 2003  ",407,3200,50682,0.7966489851044256,
2017-12-20 15:08:24.555126,/en/pb/hansard-debates/rhr/document/47HansD_20030522/volume-608-week-25-thursday-22-may-2003,22-May-2003  ,"Parliamentary Debates (Hansard) for Thursday, 22 May 2003  ",86,1884,30087,0.2850230338381997,
2017-12-20 15:08:26.607223,/en/pb/hansard-debates/rhr/document/47HansD_20030610/volume-609-week-26-tuesday-10-june-2003,10-Jun-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 10 June 2003  ",209,3036,51414,0.4048582995951417,
2017-12-20 15:08:29.278787,/en/pb/hansard-debates/rhr/document/47HansD_20030611/volume-609-week-26-wednesday-11-june-2003,11-Jun-2003  ,"Parliamentary Debates (Hansard) for Wednesday, 11 June 2003  ",111,2613,35888,0.3083418983860663,
2017-12-20 15:08:31.554637,/en/pb/hansard-debates/rhr/document/47HansD_20030612/volume-609-week-26-thursday-12-june-2003,12-Jun-2003  ,"Parliamentary Debates (Hansard) for Thursday, 12 June 2003  ",359,1946,28196,1.2572229031693223,
2017-12-20 15:08:34.474187,/en/pb/hansard-debates/rhr/document/47HansD_20030617/volume-609-week-27-tuesday-17-june-2003,17-Jun-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 17 June 2003  ",181,2643,40679,0.44297601566324035,
2017-12-20 15:08:37.158955,/en/pb/hansard-debates/rhr/document/47HansD_20030618/volume-609-week-27-wednesday-18-june-2003,18-Jun-2003  ,"Parliamentary Debates (Hansard) for Wednesday, 18 June 2003  ",248,3314,50767,0.48613152994217385,
