url,volume,date,utterance,speaker,reo,ambiguous,other,percent,text
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740197;page=ssd;view=plaintext;seq=219;num=177,C,"Friday, 3rd August, 1860",39,The Hon. Mr. SWAINSON,16,2,16,50,"Again, it commences at the mouth of the Waitaha, thence along the coast-line in a northerly direction to Waiongana, Waitara, Turangi, Waiau, Onaero, Urenui, Kaweka, Kupuriki, Waiti, Paraeroa, Karakaura, Te Kawau, Poutama, and Mowhakatino."
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740197;page=ssd;view=plaintext;seq=219;num=177,C,"Friday, 3rd August, 1860",60,Jir. RICHMOND,6,1,0,100,he ika tere mai kahore ona waka.
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740197;page=ssd;view=plaintext;seq=219;num=177,C,"Friday, 3rd August, 1860",165,Mr. FORSAITH,3,2,0,100,Naku kee i ora ai.
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740197;page=ssd;view=plaintext;seq=219;num=177,C,"Friday, 3rd August, 1860",281,Mr. J. C. RICHMOND,3,2,0,100,"Naku kee i ora ai,"
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740197;page=ssd;view=plaintext;seq=219;num=177,C,"Friday, 3rd August, 1860",324,Mr. DILLON BELL,6,5,1,85.71,"Ki taku, ka rite ano to robe mo nga pakeha ke Waitaha."
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740197;page=ssd;view=plaintext;seq=219;num=177,C,"Friday, 3rd August, 1860",334,Mr. DILLON BELL,9,2,0,100,"Na Rero taua kupu, naku hoki, na kerua hoki taua kupu;"""
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740197;page=ssd;view=plaintext;seq=219;num=177,C,"Friday, 3rd August, 1860",344,Mr. DILLON BELL,3,2,0,100,"naku kee i ora ai,"
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740197;page=ssd;view=plaintext;seq=219;num=177,C,"Friday, 3rd August, 1860",348,Mr. DILLON BELL,10,3,0,100,"Kia kaha atu tou kupu ki a Te Kawana tana ke te Makarini"""
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740197;page=ssd;view=plaintext;seq=250;num=208,C,"Tuesday, 7th August, 1860",27,Mr. BROWN,31,12,0,100,"Mehemoa kaoro kee i rongo ki te kupu i tuhia e keo nei: nei ra i rongo ano, kerua ke Te Wiremu ki te kupu a Rere mo Waitara nei, kia purutia; na Rere taua kupu, naku hoki, na kerua hoki taua kupu."
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740197;page=ssd;view=plaintext;seq=250;num=208,C,"Tuesday, 7th August, 1860",29,Mr. BROWN,27,17,0,100,"Me whakaaro & kee te kupu a Rere i ki atu ki a kerua ke Te Wiremu i to kerua taenga mai ki Waikanae; e mohio ana kee ki taua kupu mo Waitara, ekere e tukua e au kia te Kawana raua ke Te Makarini."
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740197;page=ssd;view=plaintext;seq=250;num=208,C,"Tuesday, 7th August, 1860",286,Mr. C. W. RICHMOND,3,2,0,100,Naku kee i ora ai.
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740197;page=ssd;view=plaintext;seq=250;num=208,C,"Tuesday, 7th August, 1860",338,Mr. C. W. RICHMOND,3,1,0,100,"Ka pai te Kawana"""
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740197;page=ssd;view=plaintext;seq=326;num=284,C,"Tuesday, 14th August, 1860",35,Mr. DILLON BELL,6,1,6,50,"Teira belongs to Ngatihinga and Ngatituaho hapu, and Te Patukakariki is the chief."
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740197;page=ssd;view=plaintext;seq=326;num=284,C,"Tuesday, 14th August, 1860",128,Mr. DILLON BELL,3,0,2,60,"ne1ic te tupu """
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740197;page=ssd;view=plaintext;seq=326;num=284,C,"Tuesday, 14th August, 1860",171,FRIKNDS,7,2,5,58.33,"To Wiremu Kingi Whiti, Wiremu Ngawaka, Patukakariki, and to all the men of Waitara."
