url,volume,date,reo,ambiguous,other,percent,retrieved,format,incomplete
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=47;num=1,A,"Wednesday, 24th May, 1854",0,62,594,0,2018-01-17 17:14:17.921929,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=48;num=2,A,"Wednesday, 24th May, 1854",0,22,281,0,2018-01-17 17:14:20.275389,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=48;num=2,A,"Friday, 26th May, 1854",6,457,4282,0.14,2018-01-17 17:14:20.275389,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=53;num=7,A,"Saturday, 27th May, 1854",1,475,6080,0.02,2018-01-17 17:14:31.339906,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=60;num=14,A,"Saturday, 27th May, 1854",6,281,2742,0.22,2018-01-17 17:15:06.425753,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=64;num=18,A,"Monday, 29th May, 1854",0,42,453,0,2018-01-17 17:15:14.841370,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=64;num=18,A,"Thursday, 1st June, 18S4",3,777,7444,0.04,2018-01-17 17:15:14.841370,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=73;num=27,A,"Friday, 2nd June, 1854",16,1824,17208,0.09,2018-01-17 17:15:31.836118,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=91;num=45,A,"Saturday, 3rd June, 1854",9,1358,13226,0.07,2018-01-17 17:16:40.500053,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=105;num=59,A,"Monday, 5th June, 1854",21,917,8702,0.24,2018-01-17 17:17:12.799849,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=115;num=69,A,"Tuesday, 6th June, 1854",8,1072,10755,0.07,2018-01-17 17:17:35.749047,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=127;num=81,A,"Thursday, 8th June, 1854",0,29,234,0,2018-01-17 17:18:29.417329,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=127;num=81,A,"Thursday, 15th June, 1854",9,1342,12554,0.07,2018-01-17 17:18:29.417329,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=140;num=94,A,"Friday, 16th June, 1854",0,188,1677,0,2018-01-17 17:19:13.578516,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=142;num=96,A,"Tuesday, 20th June, 1851",0,45,314,0,2018-01-17 17:19:17.874940,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=143;num=97,A,"Tuesday, 20th June, 1854",18,2160,18292,0.1,2018-01-17 17:19:20.135143,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=164;num=118,A,"Thursday, 22nd June, 1854",0,6,140,0,2018-01-17 17:20:17.845122,OCR,
https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171;page=ssd;view=plaintext;seq=164;num=118,A,"Thursday, 22nd June, 1854",3,296,3351,0.09,2018-01-17 17:20:17.845122,OCR,
