retrieved,url,name,period,session,format,downloaded,processed
2018-02-20 23:20:02.378196,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740171,A,24 May 1854 - 15 September 1855,"1st Parliament: 1st, 2nd, & 3rd sessions",OCR,True,True
2018-02-20 23:20:07.621469,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740189,B,15 April 1856 – 8 July 1858,2nd Parliament: 1st & 2nd sessions,OCR,True,True
2018-02-20 23:20:02.311208,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740197,C,9 July 1858 – 5 November 1860,2nd Parliament: 2nd & 3rd sessions,OCR,True,True
2018-02-20 23:20:06.397400,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740205,D,3 June 1861 – 14 December 1863,"3rd Parliament: 1st, 2nd & 3rd sessions",OCR,True,True
2018-02-20 23:20:03.974291,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740213,E,24 November 1864 – 8 October 1866,3rd Parliament: 4th & 5th sessions  4th Parliament: 1st session,OCR,True,True
2018-02-20 23:20:02.291192,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740221,1.1,9 July 1867 – 29 August 1867,4th Parliament: 2nd session,OCR,True,True
2018-02-20 23:20:03.418270,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740247,1.2,30 August 1867 – 10 October 1867,4th Parliament: 2nd session,OCR,True,True
2018-02-20 23:20:03.387268,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740239,2,9 July 1868 – 21 August 1868,4th Parliament: 3rd session,OCR,True,True
2018-02-20 23:20:02.970245,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740254,3,25 August 1868 – 24 September 1868,4th Parliament: 3rd session,OCR,True,True
2018-02-20 23:20:03.345255,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740262,4,25 September 1868 – 20 October 1868,4th Parliament: 3rd session,OCR,True,True
2018-02-20 23:20:04.670516,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740270,5,1 June 1869 – 16 July 1869,4th Parliament: 4th session,OCR,True,True
2018-02-20 23:20:04.292649,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740288,6,20 July 1869 – 3 September 1869,4th Parliament: 4th session,OCR,True,True
2018-02-20 23:20:04.292649,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106015265777,7,14 June 1870 – 20 July 1870,4th Parliament: 5th session,OCR,True,True
2018-02-20 23:20:02.708216,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740296,8,21 July 1870 – 12 August 1870,4th Parliament: 5th session,OCR,True,True
2018-02-20 23:20:04.910046,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740304,9,15 August 1870 – 13 September 1870,4th Parliament: 5th session,OCR,True,True
2018-02-20 23:20:03.184246,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740312,10,14 August 1871 – 28 September 1871,5th Parliament: 1st session,OCR,True,True
2018-02-20 23:20:06.296394,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740320,11,29 September 1871 – 16 November 1871,5th Parliament: 1st session,OCR,True,True
2018-02-20 23:20:03.304266,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740338,12,16 July 1872 – 29 August 1872,5th Parliament: 2nd session,OCR,True,True
2018-02-20 23:20:05.544362,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740346,13,30 August 1872 – 25 October 1872,5th Parliament: 2nd session,OCR,True,True
2018-02-20 23:20:05.098059,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019740353,14,15 July 1873 – 27 August 1873,5th Parliament: 3rd session,OCR,True,True
2018-02-20 23:20:05.722363,https://babel.hathitrust.org/cgi/ssd?id=uc1.32106019787131,15,28 August 1873 – 3 October 1873,5th Parliament: 3rd session,OCR,True,True
